employee_id,shift_id,cost
emp_1,shift_mon_am,10.0
emp_1,shift_mon_pm,11.0
emp_1,shift_tue_am,12.0
emp_1,shift_tue_pm,13.0
emp_1,shift_wed_am,14.0
emp_1,shift_wed_pm,15.0
emp_1,shift_thu_am,16.0
emp_1,shift_thu_pm,18.0
emp_1,shift_fri_am,20.0
emp_1,shift_fri_pm,10.0
emp_2,shift_mon_am,11.0
emp_2,shift_mon_pm,12.0
emp_2,shift_tue_am,13.0
emp_2,shift_tue_pm,14.0
emp_2,shift_wed_am,15.0
emp_2,shift_wed_pm,16.0
emp_2,shift_thu_am,18.0
emp_2,shift_thu_pm,20.0
emp_2,shift_fri_am,10.0
emp_2,shift_fri_pm,11.0
emp_3,shift_mon_am,12.0
emp_3,shift_mon_pm,13.0
emp_3,shift_tue_am,14.0
emp_3,shift_tue_pm,15.0
emp_3,shift_wed_am,16.0
emp_3,shift_wed_pm,18.0
emp_3,shift_thu_am,20.0
emp_3,shift_thu_pm,10.0
emp_3,shift_fri_am,11.0
emp_3,shift_fri_pm,12.0
emp_4,shift_mon_am,13.0
emp_4,shift_mon_pm,14.0
emp_4,shift_tue_am,15.0
emp_4,shift_tue_pm,16.0
emp_4,shift_wed_am,18.0
emp_4,shift_wed_pm,20.0
emp_4,shift_thu_am,10.0
emp_4,shift_thu_pm,11.0
emp_4,shift_fri_am,12.0
emp_4,shift_fri_pm,13.0
emp_5,shift_mon_am,14.0
emp_5,shift_mon_pm,15.0
emp_5,shift_tue_am,16.0
emp_5,shift_tue_pm,18.0
emp_5,shift_wed_am,20.0
emp_5,shift_wed_pm,10.0
emp_5,shift_thu_am,11.0
emp_5,shift_thu_pm,12.0
emp_5,shift_fri_am,13.0
emp_5,shift_fri_pm,14.0
emp_6,shift_mon_am,15.0
emp_6,shift_mon_pm,16.0
emp_6,shift_tue_am,18.0
emp_6,shift_tue_pm,20.0
emp_6,shift_wed_am,10.0
emp_6,shift_wed_pm,11.0
emp_6,shift_thu_am,12.0
emp_6,shift_thu_pm,13.0
emp_6,shift_fri_am,14.0
emp_6,shift_fri_pm,15.0
