customer_id,product_id,period_id,demand
c1,prod_A,p1,10.0
c1,prod_A,p2,12.0
c1,prod_A,p3,10.0
c1,prod_A,p4,11.0
c1,prod_A,p5,10.0
c1,prod_A,p6,12.0
c1,prod_B,p1,8.0
c1,prod_B,p2,8.0
c1,prod_B,p3,9.0
c1,prod_B,p4,8.0
c1,prod_B,p5,9.0
c1,prod_B,p6,8.0
c1,prod_C,p1,12.0
c1,prod_C,p2,13.0
c1,prod_C,p3,12.0
c1,prod_C,p4,13.0
c1,prod_C,p5,12.0
c1,prod_C,p6,13.0
c2,prod_A,p1,8.0
c2,prod_A,p2,8.0
c2,prod_A,p3,9.0
c2,prod_A,p4,8.0
c2,prod_A,p5,9.0
c2,prod_A,p6,8.0
c2,prod_B,p1,6.0
c2,prod_B,p2,7.0
c2,prod_B,p3,6.0
c2,prod_B,p4,7.0
c2,prod_B,p5,6.0
c2,prod_B,p6,7.0
c2,prod_C,p1,10.0
c2,prod_C,p2,10.0
c2,prod_C,p3,11.0
c2,prod_C,p4,10.0
c2,prod_C,p5,11.0
c2,prod_C,p6,10.0
c3,prod_A,p1,7.0
c3,prod_A,p2,7.0
c3,prod_A,p3,8.0
c3,prod_A,p4,7.0
c3,prod_A,p5,8.0
c3,prod_A,p6,7.0
c3,prod_B,p1,6.0
c3,prod_B,p2,5.0
c3,prod_B,p3,6.0
c3,prod_B,p4,5.0
c3,prod_B,p5,6.0
c3,prod_B,p6,5.0
c3,prod_C,p1,8.0
c3,prod_C,p2,9.0
c3,prod_C,p3,8.0
c3,prod_C,p4,9.0
c3,prod_C,p5,8.0
c3,prod_C,p6,9.0
