warehouse_id,customer_id,product_id,capacity
wh1,c1,prod_A,120.0
wh1,c1,prod_B,125.0
wh1,c2,prod_A,130.0
wh1,c2,prod_B,135.0
wh1,c3,prod_A,140.0
wh1,c3,prod_B,145.0
wh1,c4,prod_A,150.0
wh1,c4,prod_B,155.0
wh2,c1,prod_A,160.0
wh2,c1,prod_B,165.0
wh2,c2,prod_A,170.0
wh2,c2,prod_B,175.0
wh2,c3,prod_A,180.0
wh2,c3,prod_B,120.0
wh2,c4,prod_A,125.0
wh2,c4,prod_B,130.0
wh3,c1,prod_A,135.0
wh3,c1,prod_B,140.0
wh3,c2,prod_A,145.0
wh3,c2,prod_B,150.0
wh3,c3,prod_A,155.0
wh3,c3,prod_B,160.0
wh3,c4,prod_A,165.0
wh3,c4,prod_B,170.0
