candidate_id,neighborhood_id,covers
loc_1,nbhd_1,1
loc_1,nbhd_2,1
loc_1,nbhd_3,1
loc_1,nbhd_4,0
loc_1,nbhd_5,0
loc_1,nbhd_6,0
loc_1,nbhd_7,0
loc_1,nbhd_8,1
loc_2,nbhd_1,0
loc_2,nbhd_2,1
loc_2,nbhd_3,1
loc_2,nbhd_4,1
loc_2,nbhd_5,1
loc_2,nbhd_6,0
loc_2,nbhd_7,0
loc_2,nbhd_8,0
loc_3,nbhd_1,0
loc_3,nbhd_2,0
loc_3,nbhd_3,1
loc_3,nbhd_4,0
loc_3,nbhd_5,1
loc_3,nbhd_6,1
loc_3,nbhd_7,1
loc_3,nbhd_8,0
loc_4,nbhd_1,0
loc_4,nbhd_2,0
loc_4,nbhd_3,0
loc_4,nbhd_4,1
loc_4,nbhd_5,0
loc_4,nbhd_6,1
loc_4,nbhd_7,1
loc_4,nbhd_8,1
loc_5,nbhd_1,1
loc_5,nbhd_2,0
loc_5,nbhd_3,0
loc_5,nbhd_4,1
loc_5,nbhd_5,1
loc_5,nbhd_6,0
loc_5,nbhd_7,1
loc_5,nbhd_8,1
